Article_Code,Article_Name,Buyer_Reference,Article_Category
F0000104,"FVF2666QD( SOLID)-POLYESTER 89% SPANDEX 11%-ANTI-BACTERI-138X79, 90DX170D, WICKING 157GSM 53INCH",,Textiles/Fabric
F0000105,"FVF2666QD (PRINT)-POLYESTER 89% SPANDEX WICKING 11%-138X79, 90DX170D, WICKING 157GSM 51INCH",,Textiles/Fabric
F0000106,SW1760-NYLON 95% SPANDEX 5%-90D*140D+40D OP150GSM +-5% WICKING 50INCH,,Textiles/Fabric
F0000107,PW122-POLYESTER 92% SPANDEX WICKING 8%-PRINT+ANTI-STINK-75D+150D WICKING+PRINT+ ANTI-STINK 156GSM+-5% 56INCH,,Textiles/Fabric
F0000108,.-PW131-POLYESTER 92% SPANDEX WICKING 8%-PRINT+ANTI-STINK-.CUTABLE WIDTH 56INCH,,Textiles/Fabric
F0000109,PW123-POLYESTER 92% SPANDEX WICKING 8%-PRINT+ANTI-STINK-75D+150D WICKING+PRINT+ ANTI-STINK 156GSM+-5% 56 INCH,,Textiles/Fabric
F0000110,"SP2225-POLYESTER 92% SPANDEX 8%-75D+150D P/D, 156GSM +-5% 56 INCH",,Textiles/Fabric
F0000111,"SP2414-POLYESTER 88% ELASTANE 12%-130 G/SM±5%, WICKING 58 INCH",,Textiles/Fabric
F0000112,SR1895-POLYESTER 100%-DWR 50DX75D 221GSM DWR 60 INCH,,Textiles/Fabric
F0000113,SP2274-NYLON 88% SPANDEX 12%-100D+OP 248GSM 50 INCH,,Textiles/Fabric
F0000114,SP2488-POLYESTER 86% ELASTANE 14%-122G/SM (155G/Y)+-5% 54 INCH,,Textiles/Fabric
F0000115,"SP2567-NYLON 95% SPANDEX 5%-60D+70D, 170G/SM(221/Y)±5%, 56 INCH",,Textiles/Fabric
F0000116,"PP337-NYLON 95% SPANDEX 5%-P/D+PRINT-60D+70D, 170G/SM(221/Y)±5%, 55 INCH",,Textiles/Fabric
F0000117,ES17/1/33A-POLYAMIDE 95% ELASTANE 5%-BATHING SUIT SHELL -FABRIC - PRINT-134GSM 55 INCH,,Textiles/Fabric
F0000118,ES17/1/33A/SOLID-POLYAMIDE 95% ELASTANE 5%-BATHING SUIT SHELL -FABRIC - PRINT-134GSM 55 INCH,,Textiles/Fabric
F0000119,Q2356-POLYESTER 50% RECYCLED POLYESTER 50%-56INCH,,Textiles/Fabric
F0000120,Cotton stretch Twill-FWD#211286-COTTON 97% SPANDEX 3%-56 /58-3x5-.-CALVARY TWILL WITH STRETCH,,Textiles/Fabric
F0000121,"NAMIB-P.N0029 P.019MX-COTTON 35% POLYESTER 65% -56""-3x3-.-CM 43-1",,Textiles/Fabric
F0000122,"NAMIB-P.N0029 P.019MX-COTTON 35% POLYESTER 65%-56""-3x3-CM 53",,Textiles/Fabric
F0000123,"TOKYO DIS.1140 CA10-P.T810J-COTTON 35% POLYESTER 65%-56""-3x3-TOKYO DIS.1140 CA10",,Textiles/Fabric
F0000124,.-BX818-POLYESTER 100%-.-.,,Textiles/Fabric
F0000125,"R11-22009-57% COTTON 38% POLYESTER 5% SPANDEX-QUICK DRY, 390GR/M2 52",,Textiles/Fabric
F0000126,"R11-21130-57% COTTON 38% POLYESTER 5% SPANDEX-QUICK DRY, 390GR/M2 52 INCH",,Textiles/Fabric
F0000127,"R11-21129-57% COTTON 38% POLYESTER 5% SPANDEX-QUICK DRY, 390GR/M2 52 INCH",,Textiles/Fabric
F0000128,"ONEILL-DOONLY-DWR 80/10 C0,,PA CLEAR COATING-52% Polyester 48% Recycle Polyester",,Textiles/Fabric
F0000129,"AW17531_R-DL055760- DWR 80/10 C0,PA CLEAR COATING-POLYESTER 48% RECYCLED POLYESTER 52% WIDTH 57INCH",,Textiles/Fabric
F0000130,AW21536 CROSS DYE-LNT-21210-RPET 40% POLYESTER 35% RE-NYLON 25%-C0 DWR (80/10)+HYDROPHILIC TPU DOT LAMINATION 10K WIDTH 54INCH (DOUBLE DYE FOR POLY AND NYLON PART)-,,Textiles/Fabric
F0000131,SP1821 (OWZ-B042)-VISCOSE 76% POLYAMIDE 20% ELASTANE 4%-2 WAY STRETCH WOVEN TWILL-56INCH,,Textiles/Fabric
F0000132,RTF108-FUSILBE INTERLINING-59INCH,,Textiles/Fabric
F0000133,C32785-Q-POLYAMIDE (NYLON) 93% ELASTANE (SPANDEX) 7%-56INCH,,Textiles/Fabric
F0000134,RT3174Q-4-RECYCLED POLYESTER 89% ELASTANE 6.50% POLYESTER 4.50%-54INCH,,Textiles/Fabric
F0000135,"AW17531_R-DL036555 - DWR 80/10 C0,PA CLEAR COATING-52% POLYESTER 48% RECYCLED POLYESTER WIDTH 57INCH",,Textiles/Fabric
F0000136,AW16530-NON-COATED TAFFETA-100% NYLON - WIDTH 57INCH,,Textiles/Fabric
F0000137,JB-ZD91321-POLYESTER 93% ELASTANE (SPANDEX) 7%,,Textiles/Fabric
F0000138,WB8025-FUSILBE INTERLINING-48INCH,,Textiles/Fabric
F0000139,TSP20-.-WELLON BAG WIDTH 62INCH,,Textiles/Fabric
F0000140,SP1027-NON-WOVEN INTERLINING-WIDTH 39INCH,,Textiles/Fabric
F0000141,JB-ZD91321-POLYESTER 93% ELASTANE (SPANDEX) 7%-C0 WR/BONDING-55.5INCH,,Textiles/Fabric
F0000142,SOTE287-2L01-I-POLYESTER 100%-WR C0-54INCH,,Textiles/Fabric
F0000143,SR1556 (OTS-B097)-RECYCLED POLYESTER 91% SPANDEX 9%-WR C0-DOUBLE WEAVE-48INCH,,Textiles/Fabric
F0000144,SR1975 (NJD-A013)-NYLON 100%-WR C0-DIAMOND JACQUARD-58INCH,,Textiles/Fabric
F0000145,SR1966 (OWS-A024)-POLYESTER 86% SPANDEX 14%-WR C0-MICRO HIGH STRETCH-MELANGE-53INCH,,Textiles/Fabric
F0000146,S21301-R-RECYCLED POLYESTER 100%-DWR(C0)+BREATHABLE LAMINATION 10K/10K-TX SHELL 2L RECYCLE-56INCH,,Textiles/Fabric
F0000147,P2520-R-RECYCLED POLYESTER 100%-DWR(C0)+PRINT+BREATHABLE LAMINATION 10K/10K-TX SHELL 2L RECYCLE-54INCH,,Textiles/Fabric
F0000148,P2521-R-RECYCLED POLYESTER 100%-DWR(C0)+PRINT+BREATHABLE LAMINATION 10K/10K-TX SHELL 2L RECYCLE-54INCH,,Textiles/Fabric
F0000149,P2532-R-RECYCLED POLYESTER 100%-DWR(C0)+DIGITAL PRINT+BREATHABLE LAMINATION 10K/10K-TX SHELL 2L RECYCLE-54INCH,,Textiles/Fabric
F0000150,AW23024-DWR 80/10 C0+C/D-100% RECYCLE NYLON,,Textiles/Fabric
F0000151,PR6100-.-FUSIBLE INTERLINING 100% POLYESTER-WIDTH 59INCH,,Textiles/Fabric
F0000152,AW23040-P&E-DWR-100% POLYESTER BIRDEYES MESH,,Textiles/Fabric
F0000153,AW23040-DWR-100% POLYESTER BIRDEYES MESH,,Textiles/Fabric
F0000154,".-RG-088-.-65% PL, 35% CO COTTON CANVAS PD + W/R 270GSM 57",,Textiles/Fabric
F0000155,"RG088-65%POLYESTER 35%COTTON, CANVAS/RG088-NORMAL YARN,BIONIC ECO FINISH-59/60INCH",,Textiles/Fabric
F0000156,".-TC8020-.-80% POLYESTER 20% COTTON 110GSM 57""",,Textiles/Fabric
F0000157,NS020F-NON WOVEN INTERLINNING-100CM,,Textiles/Fabric
F0000158,PR6100-.-NON WOVEN FUSIBLE INTERLINNING-150CM,,Textiles/Fabric
F0000159,NW4490-NON WOVEN FUSIBLE INTERLINNING-12MM,,Textiles/Fabric
F0000160,F-WPPLWN-0707-SSTP16153-POLYESTER 100%-DWR-PLAIN,,Textiles/Fabric
F0000161,F-WPPLWN-0429-SSTP16154-POLYESTER 100%-DWR-HIGH DENSITY PLAIN,,Textiles/Fabric
F0000162,AW21001-RYK12-POLYESTER 50% RPET (REPREVE) 50%-C0 DWR(80/10) + PEACH-50% RPET (REPREVE) 50% POLYESTER - SOLID - MICRO TWILL PEACH,,Textiles/Fabric
F0000163,AW21001-RYK12-POLYESTER 50% RPET (REPREVE) 50%-C0 DWR(80/10) + PEACH-SOLID-MICRO TWILL PEACH-WIDTH 58INCH,,Textiles/Fabric
F0000164,AW21002-RYK12-POLYESTER 50% RPET (REPREVE) 50%-C0 DW/R (80/10)-PRINT -MICRO FIBRE PFP-WIDTH 58INCH,,Textiles/Fabric
F0000165,AS30-INTERLINING-WIDTH 39INCH,,Textiles/Fabric
F0000166,3097/0.08MM-ADHESIVE FILM #3097 3MIL,,Textiles/Fabric
F0000167,MESH LINING-AL-0321-POLYESTER 100%-.-64 GSM,,Textiles/Fabric
F0000168,F-KPMSHN-0775-S21115-KC-POLYESTER 98% SPANDEX 2%-.-MESH LINER,,Textiles/Fabric
F0000169,F-HMKNT-039-WY-349389-NYLON 80% SPANDEX 20%-.-STRETCH JERSEY,,Textiles/Fabric
F0000170,AW23026-DL050401-RECYCLE NYLON 56% NYLON 44%-DWR 80/10 C0+W/R-WIDTH 56INCH,,Textiles/Fabric
F0000171,PD242 (OWS-A012)-POLYESTER 48% RECYCLED POLYESTER 38% SPANDEX 14%-W/R(C0)+PRINT+CIRE-MICRO HIGH STRETCH-PRINT-52INCH,,Textiles/Fabric
